Learning Rate,Epoch,Training Time,Training Accuracy,Test Accuracy
0.01,10,1048.406607,0.827735125,0.800219649
0.001,10,1014.398538,0.961472329,0.911341853
0.0001,10,1026.972617,0.992682342,0.928115016
1.00E-05,10,1016.061641,0.95115563,0.905750799
1.00E-06,10,1011.813282,0.77309261,0.773961661
0.01,15,1541.126099,0.860904511,0.814396965
0.001,15,1628.355758,0.971509117,0.907947284
0.0001,15,1520.749465,0.992962252,0.931309904
1.00E-05,15,1524.58961,0.97640755,0.915535144
1.00E-06,15,1524.606232,0.819777671,0.812000799
