Downloading: "https://download.pytorch.org/models/mobilenet_v2-7ebf99e0.pth" to /iitjhome/m21aie225/.cache/torch/hub/checkpoints/mobilenet_v2-7ebf99e0.pth
cuda:0
Files already downloaded and verified
Files already downloaded and verified


***				Epoch = 10	Learning Rate = 0.01				***


  0%|          | 0.00/13.6M [00:00<?, ?B/s]  2%|▏         | 256k/13.6M [00:00<00:06, 2.30MB/s] 11%|█         | 1.52M/13.6M [00:00<00:01, 8.39MB/s] 42%|████▏     | 5.68M/13.6M [00:00<00:00, 24.0MB/s] 73%|███████▎  | 9.92M/13.6M [00:00<00:00, 28.3MB/s]100%|██████████| 13.6M/13.6M [00:00<00:00, 28.1MB/s]
Epoch: 1 (2m 0s) 	Training Loss: 1.704, 	Test Loss: 1.392,  	Training acc: 0.36, 	Test acc: 0.49, 
Epoch: 2 (3m 40s) 	Training Loss: 1.159, 	Test Loss: 1.073,  	Training acc: 0.59, 	Test acc: 0.62, 
Epoch: 3 (5m 23s) 	Training Loss: 0.928, 	Test Loss: 0.873,  	Training acc: 0.68, 	Test acc: 0.70, 
Epoch: 4 (7m 8s) 	Training Loss: 0.801, 	Test Loss: 0.788,  	Training acc: 0.72, 	Test acc: 0.73, 
Epoch: 5 (8m 51s) 	Training Loss: 0.718, 	Test Loss: 0.743,  	Training acc: 0.75, 	Test acc: 0.75, 
Epoch: 6 (10m 35s) 	Training Loss: 0.655, 	Test Loss: 0.694,  	Training acc: 0.77, 	Test acc: 0.76, 
Epoch: 7 (12m 21s) 	Training Loss: 0.606, 	Test Loss: 0.651,  	Training acc: 0.79, 	Test acc: 0.77, 
Epoch: 8 (14m 5s) 	Training Loss: 0.562, 	Test Loss: 0.631,  	Training acc: 0.81, 	Test acc: 0.78, 
Epoch: 9 (15m 48s) 	Training Loss: 0.530, 	Test Loss: 0.602,  	Training acc: 0.82, 	Test acc: 0.80, 
Epoch: 10 (17m 28s) 	Training Loss: 0.495, 	Test Loss: 0.607,  	Training acc: 0.83, 	Test acc: 0.80, 
Training completed in 17m 28s 	Training Loss: 0.495, 	Test Loss: 0.607,  	Training acc: 0.83, 	Test acc: 0.80, 


***				Epoch = 15	Learning Rate = 0.01				***


Epoch: 1 (1m 42s) 	Training Loss: 1.613, 	Test Loss: 1.286,  	Training acc: 0.40, 	Test acc: 0.53, 
Epoch: 2 (3m 23s) 	Training Loss: 1.135, 	Test Loss: 1.058,  	Training acc: 0.60, 	Test acc: 0.63, 
Epoch: 3 (5m 6s) 	Training Loss: 0.954, 	Test Loss: 0.916,  	Training acc: 0.66, 	Test acc: 0.68, 
Epoch: 4 (6m 47s) 	Training Loss: 0.822, 	Test Loss: 0.841,  	Training acc: 0.72, 	Test acc: 0.71, 
Epoch: 5 (8m 28s) 	Training Loss: 0.730, 	Test Loss: 0.746,  	Training acc: 0.75, 	Test acc: 0.74, 
Epoch: 6 (10m 8s) 	Training Loss: 0.665, 	Test Loss: 0.694,  	Training acc: 0.77, 	Test acc: 0.76, 
Epoch: 7 (11m 48s) 	Training Loss: 0.616, 	Test Loss: 0.646,  	Training acc: 0.79, 	Test acc: 0.78, 
Epoch: 8 (13m 44s) 	Training Loss: 0.580, 	Test Loss: 0.646,  	Training acc: 0.80, 	Test acc: 0.78, 
Epoch: 9 (15m 24s) 	Training Loss: 0.543, 	Test Loss: 0.616,  	Training acc: 0.81, 	Test acc: 0.79, 
Epoch: 10 (17m 5s) 	Training Loss: 0.512, 	Test Loss: 0.606,  	Training acc: 0.82, 	Test acc: 0.79, 
Epoch: 11 (18m 53s) 	Training Loss: 0.490, 	Test Loss: 0.619,  	Training acc: 0.83, 	Test acc: 0.79, 
Epoch: 12 (20m 36s) 	Training Loss: 0.464, 	Test Loss: 0.597,  	Training acc: 0.84, 	Test acc: 0.80, 
Epoch: 13 (22m 20s) 	Training Loss: 0.435, 	Test Loss: 0.566,  	Training acc: 0.85, 	Test acc: 0.81, 
Epoch: 14 (24m 0s) 	Training Loss: 0.424, 	Test Loss: 0.556,  	Training acc: 0.85, 	Test acc: 0.82, 
Epoch: 15 (25m 41s) 	Training Loss: 0.402, 	Test Loss: 0.551,  	Training acc: 0.86, 	Test acc: 0.81, 
Training completed in 25m 41s 	Training Loss: 0.402, 	Test Loss: 0.551,  	Training acc: 0.86, 	Test acc: 0.81, 


***				Epoch = 10	Learning Rate = 0.001				***


Epoch: 1 (1m 40s) 	Training Loss: 0.521, 	Test Loss: 0.423,  	Training acc: 0.83, 	Test acc: 0.86, 
Epoch: 2 (3m 20s) 	Training Loss: 0.331, 	Test Loss: 0.331,  	Training acc: 0.89, 	Test acc: 0.89, 
